station_name	gate_location	parking_lat	parking_lon
patel chowk	Near Gate No.3	28.622474	77.213530
supreme court	Near Gate No.2	28.624187	77.241308
pitampura			
preet vihar			
paschim vihar east	Near Gate No.2	28.677606	77.112032
paschim vihar west			
qutab minar	Near Gate No.1	28.513654	77.186405
rajdhani park			
rajouri garden	Near Gate 1 & 3	28.649225	77.122353
rohini east	Near Gate No.3	28.707934	77.125277
rohini east	Near to Gate 1 & 2	28.707044	77.126145
rohini west			
rithala	Adjacent to Gate No.2	28.721961	77.105509
rithala	Adjacent to Gate No.3	28.721943	77.105632
"rohini sector - 18, 19"	Near Gate Number-02	28.738906	77.139532
raj bagh			
major mohit sharma rajendra nagar			
ramakrishna ashram marg	Near Gate No. 3	28.638692	77.207932
r.k.puram			
ramesh nagar	Near Gate No. 02	28.653168	77.013121
rajendra place	Near Gate No. 1	28.642321	77.177418
sadar bazar cantonment			
shakurpur			
saket	Near Gate No. 3	28.521038	77.202052
saket	Near Gate No. 2	28.521038	77.202052
sector - 59 noida			
sector - 52 noida			
shahdara	Near Gate No.1	28.673878	77.288383
shahdara	Near Gate No.1	28.674120	77.289373
shastri park	Near Gate No.1	28.667332	77.252267
shastri park	Near Gate No.1	28.667331	77.252899
shastri nagar	Near Gate No. 2	28.670535	77.182409
shastri nagar	Near Gate No. 2	28.670296	77.181608
shastri nagar	Near Gate No.1	28.669951	77.182082
shivaji park			
sikanderpur	Near Gate No. 2	28.481639	77.093088
shankar vihar			
seelampur	Near Gate No.1	28.671990	77.277856
sultanpur	Near Gate No. 1	28.498730	77.160958
shalimar bagh			
shyam park			
maharaja surajmal stadium			
subhash nagar	Near to Gate 02 & 04	28.640468	77.104795
south extension			
sarojini nagar			
shadipur	Near Gate No. 7	28.651654	77.158319
samaypur badli			
sarai	Near Gate No.2	28.477244	77.304827
satguru ram singh marg			
sector - 61 noida			
sector - 62 noida			
sector - 34 noida			
sector-28	Near Gate No.2	28.437071	77.309105
sarita vihar	Near Gate No.2	28.528696	77.287923
sir m. vishweshwaraiah moti bagh			
shiv vihar			
tagore garden	Near Gate No.4	28.644831	77.114178
tagore garden	Near Gate No.1	28.643790	77.112412
tikri border			
tughlakabad station			
tikri kalan			
trilokpuri-sanjay lake			
tilak nagar	Near Gate No. 04	28.636218	77.095951
tis hazari	Near Gate No.3	28.667173	77.217905
udyog bhawan			
uttam nagar east	Near Gate No. 1	28.625697	77.066314
uttam nagar east	Near Gate No. 2	28.624806	77.065852
uttam nagar east	Near Gate No. 3	28.624062	77.064997
udyog nagar	Near Gate Number 2	28.681412	77.080169
uttam nagar west	Near Gate No. 03	28.621508	77.055556
vaishali	Opposite Gate No.1 & 2	28.649379	77.338356
vaishali	Opposite Gate No.1 & 2	28.650549	77.340294
east vinod nagar-mayur vihar -ii			
mandawali - west vinod nagar			
vinobapuri		28.056615	77.251399
vidhan sabha			
vasant vihar	Near Gate No. 3	28.557556	77.162717
vishwavidyalaya	Near Gate No.2	28.695250	77.212990
welcome	Near Exit Gate	28.672605	77.278793
yamuna bank	Near Gate No. 1	28.623260	77.270866
