station_name	station_code	elevated	toilet	gate_number	gate_location	divyang_friendly	parking_available	parking_cycle	parking_motorcycle	parking_car	lat	lon
dwarka sector - 12	DSW	TRUE	TRUE	gate no. 1	service road	TRUE	TRUE	20	50	100	28.592234	77.040558
dwarka	DW	TRUE	TRUE	gate no. 2	"crpf quarters, vipin garden, nand vihar"	TRUE	TRUE	119	1143	111	28.61588467	77.02241062
dwarka	DW	TRUE	TRUE	gate no. 1	"crpf quarters, kakrola gaon"	TRUE	TRUE	119	1143	111	28.61588467	77.02241062
dwarka	DW	TRUE	TRUE	gate no. 4	"crpf quarters, vipin garden, nand vihar"	FALSE	TRUE	119	1143	111	28.61588467	77.02241062
dwarka	DW	TRUE	TRUE	gate no. 3	"crpf quarters, vipin garden, nand vihar"	TRUE	TRUE	119	1143	111	28.61588467	77.02241062
												
												
escorts mujesar	ECMJ	TRUE	TRUE	gate no. 3	motor repair market	TRUE	TRUE	10	200	15	28.370199	77.315002
escorts mujesar	ECMJ	TRUE	TRUE	gate no. 2	main mathura road	TRUE	TRUE	10	200	15	28.370199	77.315002
escorts mujesar	ECMJ	TRUE	TRUE	gate no. 1	main mathura road	FALSE	TRUE	10	200	15	28.370199	77.315002
												
												
govind puri	GDPI	TRUE	TRUE	gate no. 2	masjid	FALSE	TRUE	107	1022	99	28.544413	77.264259
govind puri	GDPI	TRUE	TRUE	gate no. 1	b d chandiwala hospital	TRUE	TRUE	107	1022	99	28.544413	77.264259
guru dronacharya	GE	TRUE	TRUE	gate no. 2	hp petrol pump	TRUE	TRUE	98	938	91	28.482075	77.102219
guru dronacharya	GE	TRUE	TRUE	gate no. 1	global business park	TRUE	TRUE	98	938	91	28.482075	77.102219
												
												
												
												
												
												
												
												
												
green park	GNPK	FALSE	TRUE	gate no. 4	"safdarganj enclave,gurudwara,arjun nagar,green park extension"	FALSE	TRUE	20	120	43	28.559853	77.206902
green park	GNPK	FALSE	TRUE	gate no. 3	"deer park,hauz khas village,uphar cinema,gurudwara,green park extension"	TRUE	TRUE	20	120	43	28.559853	77.206902
green park	GNPK	FALSE	TRUE	gate no. 2	"sirifort auditorium,nift,hauz khas market,gulmohar enclave,indian oil building"	TRUE	TRUE	20	120	43	28.559853	77.206902
green park	GNPK	FALSE	TRUE	gate no. 1	"yusuf sarai,indian oil building"	FALSE	TRUE	20	120	43	28.559853	77.206902
guru teg bahadur nagar	GTBR	FALSE	TRUE	gate no. 5	new police line	FALSE	TRUE	74	714	69	28.69814019	77.2064108
guru teg bahadur nagar	GTBR	FALSE	TRUE	gate no. 4	kingsway camp chowk	FALSE	TRUE	74	714	69	28.69814019	77.2064108
guru teg bahadur nagar	GTBR	FALSE	TRUE	gate no. 3	hudson lane	FALSE	TRUE	74	714	69	28.69814019	77.2064108
guru teg bahadur nagar	GTBR	FALSE	TRUE	gate no. 2	batra cinema	FALSE	TRUE	74	714	69	28.69814019	77.2064108
guru teg bahadur nagar	GTBR	FALSE	TRUE	gate no. 1	outram lines	TRUE	TRUE	74	714	69	28.69814019	77.2064108
ghitorni	GTNI	TRUE	TRUE	gate no. 2	ghitorni village	TRUE	TRUE	103	985	96	28.49383	77.149071
ghitorni	GTNI	TRUE	TRUE	gate no. 1	"gadaipur,dlf farms"	TRUE	TRUE	103	985	96	28.49383	77.149071
huda city centre	HCC	TRUE	TRUE	gate no. 4	max hospital	TRUE	TRUE	318	3052	297	28.459118	77.072586
