station_name	station_code	elevated	toilet	parking_available	parking_cycle	parking_motorcycle	parking_car	gate_location	lat	lon
indraprastha	IDPT	TRUE	TRUE	TRUE	10	50	150	Near Gate No.1	28.620272	77.250076
iffco chowk	IFOC	TRUE	TRUE	TRUE	318	1198	116	Near Gate No. 2	28.472137	77.072502
terminal 1-igi airport	IGDA	FALSE	TRUE	FALSE	0	0	0		28.56484857594990	77.12268531389610
iit	IIT	FALSE	TRUE	FALSE	0	0	0		28.547000119674200	77.19455788261100
inderlok	ILOK	TRUE	TRUE	TRUE	164	1577	153	Near Gate No.1	28.673452	77.170235
dilli haat - ina	INA	FALSE	TRUE	FALSE	0	0	0		28.573649182044100	77.2076036866906
i.p. extension	IPE	TRUE	TRUE	FALSE	0	0	0			
ito	ITO	FALSE	TRUE	FALSE	0	0	0		28.628188969759700	77.24103891151440
sukhdev vihar	IWNR	TRUE	TRUE	FALSE	0	0	0		28.559887	77.275116
jama masjid	JAMD	FALSE	TRUE	FALSE	0	0	0		28.650011078900700	77.23767504994650
jamia milia islamiya	JANR	FALSE	TRUE	TRUE	50	476	46	Near Gate Number-03	28.562944	77.286209
jor bagh	JB	FALSE	TRUE	FALSE	0	0	0			
jafrabad	JFRB	TRUE	TRUE	FALSE	0	0	0		28.68270043333110	77.27479769607850
jangpura	JGPA	FALSE	TRUE	FALSE	0	0	0		28.583047303365100	77.2393108842072
jahangirpuri	JGPI	TRUE	TRUE	TRUE	84	808	79	Near Gate No. 1 and 2	28.725997526973700	77.16266103090310
johri enclave	JIEE	TRUE	TRUE	FALSE	0	0	0		28.712871959173800	77.29014085502250
jasola-apollo	JLA	TRUE	TRUE	TRUE	22	207	20	Near Gate Number-1	28.538178435016000	77.28324105337620
jasola vihar shaheen bagh	JLA8	FALSE	TRUE	TRUE	88	848	82	Near Gate Number-03	28.546005	77.296715
jhilmil	JLML	TRUE	TRUE	TRUE	50	250	105	Near Gate Number-02	28.675648	77.312393
jln stadium	JLNS	FALSE	TRUE	FALSE	0	0	0			
janpath	JNPH	FALSE	TRUE	FALSE	0	0	0		28.62403589909760	77.21926957516930
janak puri east	JPE	TRUE	TRUE	TRUE	76	731	71	Near Gate No. 02	28.633121	77.086578
janak puri west	JPW	TRUE	TRUE	FALSE	0	0	0		28.628914092232500	77.07795552831120
jhandewalan	JW	TRUE	TRUE	FALSE	0	0	0		28.644312	77.199791
karol bagh	KB	TRUE	TRUE	FALSE	0	0	0		28.643925	77.188416
kohat enclave	KE	TRUE	TRUE	TRUE	25	150	200	Near Gate Number-1	28.697943	77.140465
kohat enclave	KE	TRUE	TRUE	TRUE	15	100	30	Near Gate Number-1	28.697943	77.140465
kashmere gate	KG	FALSE	TRUE	TRUE	165	1584	154	Near Gate Number-1	28.668684562212500	77.22805665264770
kailash colony	KHCY	TRUE	TRUE	FALSE	0	0	0		28.55532160858450	77.2419893134159
krishna nagar	KHNA	FALSE	TRUE	FALSE	0	0	0		28.65782	77.290306
kalindi kunj	KIKJ	FALSE	TRUE	TRUE	68	648	63		28.542835	77.310173
kalkaji mandir	KJMD	FALSE	TRUE	TRUE	0	100	150	Near Gate Number-1	28.549532	77.258789
karkarduma	KKDA	TRUE	TRUE	TRUE	35	400	200	Near Gate Number-2	28.6493849629739	77.30606243868830
karkarduma court	KKDC	TRUE	TRUE	FALSE	0	0	0		28.653631179650400	77.29576121485370
khan market	KM	FALSE	TRUE	FALSE	0	0	0		28.6022319378212	77.2291255783032
kanhaiya nagar 	KN	TRUE	TRUE	TRUE	60	1200	400	Gate No. 1	28.682399238894800	77.16477705319630
kanhaiya nagar 	KN	TRUE	TRUE	TRUE	20	90	25	Gate No. 4	28.682399238894800	77.16477705319630
kanhaiya nagar 	KN	TRUE	TRUE	TRUE	30	100	30	Gate No. 3	28.682399238894800	77.16477705319630
kirti nagar	KNR	TRUE	TRUE	TRUE	58	578	154	Near Gate No. 1	28.654525593611500	77.15135650028260
keshav puram	KP	TRUE	TRUE	TRUE	60	350	100	Gate No. 3	28.688944	77.161774
kaushambi	KSHI	TRUE	TRUE	TRUE	20	250	100	Near Gate Number- 1 & 2	28.645428	77.322273
lajpat nagar	LJPN	TRUE	TRUE	TRUE	10	40	75	Near Gate Number-1	28.570586956145400	77.23640838188800
lok kalyan marg	LKM	FALSE	TRUE	FALSE	0	0	0		28.59736663519360	77.21111032592320
lal quila	LLQA	FALSE	TRUE	FALSE	0	0	0		28.657576	77.236595
laxmi nagar	LN	TRUE	TRUE	FALSE	0	0	0		28.629843	77.276428
madipur	MAPR	TRUE	TRUE	TRUE	104	997	97	Near Gate No.1	28.67647400347470	77.1193659942844
mandi house	MDHS	FALSE	TRUE	FALSE	0	0	0		28.62558978831040	77.23423165349470
model town	MDTW	TRUE	TRUE	FALSE	0	0	0		28.702833	77.193764
mohan estate	METE	TRUE	TRUE	TRUE	91	873	85	Near Gate No.1	28.51959	77.294518
m.g. road	MGRO	TRUE	TRUE	TRUE	35	338	33	Near Gate No.1		
mundka industrial area (mia)	MIAA	TRUE	TRUE	FALSE	0	0	0		28.683472240120300	77.01712425112840
pandit shree ram sharma	MIEE	TRUE	TRUE	TRUE	60	572	56	Near Gate No. 2	28.689213	76.951088
munirka	MIRK	FALSE	TRUE	FALSE	0	0	0		28.55689064916410	77.17507802397660
munirka	MIRK	FALSE	TRUE	FALSE	0	0	0		28.55689064916410	77.17507802397660
