station_code,day,hour,BICYCLE,TWO_WHEELER,CAR_JEEP_VAN
AJG,Thursday,13:00,51.0,45.0,84.0
AJG,Thursday,14:00,34.0,11.0,78.0
AJG,Thursday,15:00,34.0,11.0,78.0
AJG,Thursday,16:00,34.0,11.0,78.0
AJG,Thursday,17:00,34.0,11.0,78.0
AJG,Thursday,18:00,36.0,8.0,71.0
AJG,Thursday,19:00,36.0,8.0,71.0
AJG,Thursday,20:00,36.0,8.0,71.0
AJG,Thursday,21:00,36.0,8.0,71.0
AJG,Thursday,22:00,67.0,55.0,81.0
AJG,Thursday,23:00,67.0,55.0,81.0
AJG,Friday,00:00,93.0,94.0,81.0
AJG,Friday,01:00,93.0,94.0,81.0
AJG,Friday,02:00,93.0,94.0,81.0
AJG,Friday,03:00,93.0,94.0,81.0
AJG,Friday,04:00,93.0,94.0,81.0
AJG,Friday,05:00,93.0,94.0,81.0
AJG,Friday,06:00,93.0,94.0,81.0
AJG,Friday,07:00,93.0,94.0,81.0
AJG,Friday,08:00,93.0,94.0,81.0
AJG,Friday,09:00,93.0,94.0,81.0
AJG,Friday,10:00,64.0,44.0,86.0
AJG,Friday,11:00,64.0,44.0,86.0
AJG,Friday,12:00,64.0,44.0,86.0
AJG,Friday,13:00,64.0,44.0,86.0
AJG,Friday,14:00,36.0,15.0,79.0
AJG,Friday,15:00,36.0,15.0,79.0
AJG,Friday,16:00,36.0,15.0,79.0
AJG,Friday,17:00,36.0,15.0,79.0
AJG,Friday,18:00,46.0,6.0,73.0
AJG,Friday,19:00,46.0,6.0,73.0
AJG,Friday,20:00,46.0,6.0,73.0
AJG,Friday,21:00,46.0,6.0,73.0
AJG,Friday,22:00,80.0,56.0,81.0
AJG,Friday,23:00,80.0,56.0,81.0
AJG,Saturday,00:00,90.0,95.0,81.0
AJG,Saturday,01:00,90.0,95.0,81.0
AJG,Saturday,02:00,90.0,95.0,81.0
AJG,Saturday,03:00,90.0,95.0,81.0
AJG,Saturday,04:00,90.0,95.0,81.0
AJG,Saturday,05:00,90.0,95.0,81.0
AJG,Saturday,06:00,90.0,95.0,81.0
AJG,Saturday,07:00,90.0,95.0,81.0
AJG,Saturday,08:00,90.0,95.0,81.0
AJG,Saturday,09:00,90.0,95.0,81.0
AJG,Saturday,10:00,66.0,73.0,89.0
AJG,Saturday,11:00,66.0,73.0,89.0
AJG,Saturday,12:00,66.0,73.0,89.0
AJG,Saturday,13:00,66.0,73.0,89.0
AJG,Saturday,14:00,44.0,29.0,79.0
AJG,Saturday,15:00,44.0,29.0,79.0
AJG,Saturday,16:00,44.0,29.0,79.0
AJG,Saturday,17:00,44.0,29.0,79.0
AJG,Saturday,18:00,45.0,26.0,77.0
AJG,Saturday,19:00,45.0,26.0,77.0
AJG,Saturday,20:00,45.0,26.0,77.0
AJG,Saturday,21:00,45.0,26.0,77.0
AJG,Saturday,22:00,68.0,66.0,81.0
AJG,Saturday,23:00,68.0,66.0,81.0
ASDM,Sunday,00:00,97.0,49.0,8.0
ASDM,Sunday,01:00,97.0,49.0,8.0
ASDM,Sunday,02:00,97.0,49.0,8.0
ASDM,Sunday,03:00,97.0,49.0,8.0
ASDM,Sunday,04:00,97.0,49.0,8.0
ASDM,Sunday,05:00,97.0,49.0,8.0
ASDM,Sunday,06:00,97.0,49.0,8.0
ASDM,Sunday,07:00,97.0,49.0,8.0
ASDM,Sunday,08:00,97.0,49.0,8.0
ASDM,Sunday,09:00,97.0,49.0,8.0
