station_name	station_code	parking_lat	parking_lon
patel chowk	PTCK	28.622474	77.21353
supreme court	PTMD	28.624187	77.241308
pitampura	PTP		
preet vihar	PTVR		
paschim vihar east	PVE	28.677606	77.112032
paschim vihar west	PVW		
qutab minar	QM	28.513654	77.186405
rajiv chowk	RCK		
rajdhani park	RDPK		
rajouri garden	RG	28.649225	77.122353
rohini east	RHE	28.707934	77.125277
rohini east	RHE	28.707044	77.126145
rohini west	RHW		
rithala	RI	28.721961	77.105509
rithala	RI	28.721943	77.105632
rohini sector - 18, 19	RISE	28.738906	77.139532
raj bagh	RJBH		
major mohit sharma rajendra nagar	RJNM		
ramakrishna ashram marg	RKAM	28.63869177	77.2079319
r.k.puram	RKPM		
ramesh nagar	RN	28.653168	77.0131213
rajendra place	RP	28.642321	77.177418
sadar bazar cantonment	SABR		
shakurpur	SAKP		
saket	SAKT	28.521038	77.202052
saket	SAKT	28.521038	77.202052
sector - 59 noida	SFNN		
sector - 52 noida	SFTN		
shahdara	SHD	28.673878	77.288383
shahdara	SHD	28.67412	77.289373
shaheed nagar	SHDN		
shastri park	SHPK	28.667332	77.252267
shastri park	SHPK	28.667331	77.252899
shastri nagar	SHT	28.670535	77.182409
shastri nagar	SHT	28.670296	77.181608
shastri nagar	SHT	28.669951	77.182082
shivaji park	SHVP		
sikanderpur	SKRP	28.481639	77.093088
shankar vihar	SKVR		
seelampur	SLAP	28.67199	77.277856
sultanpur	SLTP	28.49873	77.160958
shalimar bagh	SMBG		
shyam park	SMPK		
maharaja surajmal stadium	SMSM		
subhash nagar	SN	28.640468	77.104795
south extension	SOEN		
sarojini nagar	SOJI		
shadipur	SP	28.65165403	77.1583193
samaypur badli	SPBI		
sarai	SRAI	28.477244	77.304827
satguru ram singh marg	SRSM		
sector - 61 noida	SSON		
sector - 62 noida	SSTN		
sector - 34 noida	STFN		
sector-28	STTA	28.437071	77.309105
sarita vihar	STVR	28.528696	77.287923
sir m. vishweshwaraiah moti bagh	SVMB		
shiv vihar	SVVR		
tagore garden	TG	28.644831	77.114178
tagore garden	TG	28.64379	77.112412
tikri border	TKBR		
