station_name	station_code	elevated	toilet	parking_available	parking_cycle	parking_motorcycle	parking_car	gate_location	lat	lon	contractor	contact_number	parking_lat	parking_lon
sir m. vishweshwaraiah moti bagh	SVMB	TRUE	TRUE	FALSE	0	0	0		29	77				
shiv vihar	SVVR	TRUE	TRUE	FALSE	0	0	0		29	77				
tagore garden	TG	TRUE	TRUE	TRUE	36	343	33	Near Gate No.4	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
tagore garden	TG	TRUE	TRUE	TRUE	36	343	33	Near Gate No.1	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
tikri border	TKBR	TRUE	TRUE	FALSE	0	0	0		29	77				
tughlakabad station	TKDS	TRUE	TRUE	FALSE	0	0	0		29	77				
tikri kalan	TKLM	TRUE	TRUE	FALSE	0	0	0		29	77	M/s. Lakhvinder Singh.	9711113313		
trilokpuri-sanjay lake	TKPR	TRUE	TRUE	FALSE	0	0	0		29	77				
tilak nagar	TN	TRUE	TRUE	TRUE	12	111	11	Near Gate No. 04	29	77	M/s. Kake Finvest Pvt. Ltd.	"9810109914
9716819619"	29	77
tis hazari	TZI	TRUE	TRUE	TRUE	50	200	150	Near Gate No.3	29	77			29	77
udyog bhawan	UDB	FALSE	TRUE	FALSE	0	0	0		29	77				
uttam nagar east	UNE	TRUE	TRUE	TRUE	105	953	120	Near Gate No. 1	29	77			29	77
uttam nagar east	UNE	TRUE	TRUE	TRUE	105	953	120	Near Gate No. 2	29	77			29	77
uttam nagar east	UNE	TRUE	TRUE	TRUE	105	953	120	Near Gate No. 3	29	77			29	77
udyog nagar	UNRG	TRUE	TRUE	TRUE	87	836	81	Near Gate Number 2	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
uttam nagar west	UNW	TRUE	TRUE	TRUE	40	385	37	Near Gate No. 03	29	77	M/s. Kake Finvest Pvt. Ltd.	"9810109914
9716819619"	29	77
vaishali	VASI	TRUE	TRUE	TRUE	20	450	0	Opposite Gate No.1 & 2	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
vaishali	VASI	TRUE	TRUE	TRUE	20	450	0	Opposite Gate No.1 & 2	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
east vinod nagar-mayur vihar -ii	VENT	TRUE	TRUE	FALSE	0	0	0		29	77				
mandawali - west vinod nagar	VNNR	TRUE	TRUE	FALSE	0	0	0		29	77				
vinobapuri	VNPR	FALSE	TRUE	TRUE	7	66	6		29	77	M/s. Hindustan Trading Co.	9891014005	28	77
vidhan sabha	VS	FALSE	TRUE	FALSE	0	0	0		29	77				
vasant vihar	VTVR	FALSE	TRUE	TRUE	148	1424	138	Near Gate No. 3	29	77	M/s. Dhiraj Gupta.	9811115398	29	77
vishwavidyalaya	VW	FALSE	TRUE	TRUE	126	1214	118	Near Gate No.2	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
welcome	WC	TRUE	TRUE	TRUE	100	800	150	Near Exit Gate	29	77	M/s. Milestone Security and Placement Services.	"9990053233
9873126174"	29	77
yamuna bank	YB	FALSE	TRUE	TRUE	40	150	130	Near Gate No. 1	29	77	M/s. Ajay Kumar.	"9013414327
9810035926"	29	77
